web_scraper_order,web_scraper_start_url,data,image
"1789031274-1","https://www.caesar.co.il/","שיווק פרויקטים חדשים, למה לשים לב שקונים דירה מקבלן","http://www.caesar.co.il/wp-content/uploads/2012/10/blog4.jpg"
"1789031274-2","https://www.caesar.co.il/","כיצד לנהל את הנכסים והדירות שלך בתל אביב בצורה מיטבית","http://www.caesar.co.il/wp-content/uploads/2017/09/ניהול-נכסים-בתל-אביב.png"
"1789031274-3","https://www.caesar.co.il/","כיצד לנהל נכסים ודירות בצורה מיטבית","http://www.caesar.co.il/wp-content/uploads/2015/10/apartments2.jpg"
"1789031274-4","https://www.caesar.co.il/","מדריך מקיף לניהול נכסים בתל אביב","http://www.caesar.co.il/wp-content/uploads/2017/09/ניהול-נכסים-בתל-אביב.png"
"1789031274-5","https://www.caesar.co.il/","כיצד להצליח בניהול נכסים: עקרונות וטיפים לניהול נכסים בישראל","http://www.caesar.co.il/wp-content/uploads/2017/07/שטחים-מסחריים-בניינים-משרדים-בפתח-תקווה.jpg"
"1789031274-6","https://www.caesar.co.il/","ניהול נכסים ושיווק נכסים","http://www.caesar.co.il/wp-content/uploads/2013/06/club1.jpg"
"1789031274-7","https://www.caesar.co.il/","ניהול נכסים מתחמי מגורים דיור ונופש","http://www.caesar.co.il/wp-content/uploads/2017/12/540774_3357307064092_598863415_n-500x350.jpg"
"1789031274-8","https://www.caesar.co.il/","מה פירוש המילה ניהול נכסים ואחזקה ?","http://www.caesar.co.il/wp-content/uploads/2017/07/שטחים-מסחריים-בניינים-משרדים-בפתח-תקווה.jpg"
"1789031274-9","https://www.caesar.co.il/","מומחים ניהול נכסים – חברה לניהול נכסים בישראל","http://www.caesar.co.il/wp-content/uploads/2013/05/placeholder1.jpg"
"1789031274-10","https://www.caesar.co.il/","ניהול נכסים – מומחים לניהול נכסים החברה המובילה","http://www.caesar.co.il/wp-content/uploads/2013/05/placeholder1.jpg"
"1789031274-11","https://www.caesar.co.il/","חברה לניהול נכסים ללא עמלות ודמי ניהול","http://www.caesar.co.il/wp-content/uploads/2018/02/couple-looking-at-shop-window_1098-758-500x350.jpg"
"1789031274-12","https://www.caesar.co.il/","אחזקה וניהול נכסים: טובים השניים מין האחד","http://www.caesar.co.il/wp-content/uploads/2016/02/סעיף-1-500x350.png"
"1789031274-13","https://www.caesar.co.il/","חברת ניהול נכסים ואחזקת מבנים שחייבים להכיר!","http://www.caesar.co.il/wp-content/uploads/2016/02/סעיף-1-500x350.png"
"1789031274-14","https://www.caesar.co.il/","שיווק וניהול נכסים ושטחים מסחריים","http://www.caesar.co.il/wp-content/uploads/2018/02/couple-looking-at-shop-window_1098-758-500x350.jpg"
"1789031274-15","https://www.caesar.co.il/","ניהול קניונים – אפשר ליזום בשקט","http://www.caesar.co.il/wp-content/uploads/2018/02/couple-looking-at-shop-window_1098-758-500x350.jpg"
"1789031274-16","https://www.caesar.co.il/","ניהול נכסים במודיעין וביישובי הסביבה","http://www.caesar.co.il/wp-content/uploads/2020/12/434.jpg"
"1789031274-17","https://www.caesar.co.il/","ניהול נכסים בקריית אונו – ניהול הנכס ללא תשלום?","http://www.caesar.co.il/wp-content/uploads/2020/12/3434-309x350.jpg"
"1789031274-18","https://www.caesar.co.il/","ניהול נכסים בחדרה – בשיטה המושלמת","http://www.caesar.co.il/wp-content/uploads/2020/04/הורדה.jpg"
"1789031274-19","https://www.caesar.co.il/","ניהול נכסים ברמת השרון ובמגורי יוקרה","http://www.caesar.co.il/wp-content/uploads/2016/02/F0_0645_0378_ezor3-500x350.jpg"
"1789031274-20","https://www.caesar.co.il/","ניהול נכסים בחיפה | ניהול דירות להשקעה בחיפה","http://www.caesar.co.il/wp-content/uploads/2018/01/ניהול-נכסים-בחיפה.png"
"1789031274-21","https://www.caesar.co.il/","ניהול נכסים בראשון לציון ללא תשלום","http://www.caesar.co.il/wp-content/uploads/2016/11/ניהול-נכסים-בראשון-לציון.png"
"1789031274-22","https://www.caesar.co.il/","ניהול נכסים מניבים לבעלי נכסים שאוהבים ראש שקט","http://www.caesar.co.il/wp-content/uploads/2018/01/מגדל-מידטאון-500x350.jpg"
"1789031274-23","https://www.caesar.co.il/","ניהול קניונים | ניהול מרכזי קניות | ניהול נכסים מניבים | ניהול מרכזים מסחריים","http://www.caesar.co.il/wp-content/uploads/2018/02/couple-looking-at-shop-window_1098-758-500x350.jpg"
"1789031274-24","https://www.caesar.co.il/","שיווק וניהול נכסים | ניהול נכסים מניבים | שיווק ניהול נכסים מסחריים | ניהול ואחזקת מבנים","http://www.caesar.co.il/wp-content/uploads/2017/03/Caesar-Marketing-and-Management-Office-Buildings-500x350.jpg"
"1789031274-25","https://www.caesar.co.il/","ניהול נכסים בכפר סבא | ניהולנכסים מניבים בכפר סבא | ניהול קניונים בכפר סבא | אחזקת מבנים  בכפר סבא | ניהול נכסים מסחריים בכפר סבא","http://www.caesar.co.il/wp-content/uploads/2019/11/34534.jpg"
"1789031274-26","https://www.caesar.co.il/","נכסים מניבים לך יותר – בשיטת המושלמת","http://www.caesar.co.il/wp-content/uploads/2018/02/couple-looking-at-shop-window_1098-758-500x350.jpg"
"1789031274-27","https://www.caesar.co.il/","ניהול ואחזקת מבנים מכל הסוגים מידי המומחים של קיסר","http://www.caesar.co.il/wp-content/uploads/2017/04/קניון-עזריאלי-מרכזים-מסחריים.jpg"
